104, PA3 2SW, 11223344, 17.5, 2, purchased, PayPal, 20-02-2021
102, E20 3BS, 23198239, 20.4, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 23456789, 18.1, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 33331122, 32.5, 3, purchased, Credit Card, 09-04-2021
102, E20 3BS, 11224455, 30.25, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 33221144, 22.0, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 23198239, 20.4, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 23456789, 18.1, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 11223344, 17.5, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 22334455, 14.2, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 33332233, 12.2, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 44223344, 11.25, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 44335566, 10.99, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 23198239, 20.4, 1, purchased, Credit Card, 09-04-2021
102, E20 3BS, 23198239, 20.4, 6, purchased, Credit Card, 09-04-2021
102, E20 3BS, 12839128, 0.0, 2, purchased, Credit Card, 10-04-2021
